case,approach,pmid,pmcid,current_best,bioc_fulltext,pubtator_fulltext,material_bioc_win,reason
prior_jats_verified,prior_art_control,27083046,PMC4878868,jats_xml,True,False,False,BioC is coverage-equivalent to current structured XML; not a miss/degradation fixture.
prior_ncbi_bioc_sample,prior_art_control,17299597,PMC1790863,jats_xml,True,False,False,BioC is coverage-equivalent to current structured XML; not a miss/degradation fixture.
prior_table_article,prior_art_control,41807883,PMC12976322,jats_xml,True,False,False,BioC is coverage-equivalent to current structured XML; not a miss/degradation fixture.
prior_non_pmc_control,pubtator_non_pmc_probe,22663011,,miss,False,False,False,Current ladder misses and BioC also lacks fulltext.
non_oa_html_only_search_1,non_oa_html_only_search,,PMC13189394,pmc_html,False,False,False,"Current ladder degrades to PMC HTML, but BioC does not supply fulltext."
non_oa_html_only_search_2,non_oa_html_only_search,,PMC13189395,pmc_html,False,False,False,"Current ladder degrades to PMC HTML, but BioC does not supply fulltext."
non_oa_html_only_search_3,non_oa_html_only_search,,PMC13189397,pmc_html,False,False,False,"Current ladder degrades to PMC HTML, but BioC does not supply fulltext."
non_oa_html_only_search_4,non_oa_html_only_search,,PMC13188534,pmc_html,False,False,False,"Current ladder degrades to PMC HTML, but BioC does not supply fulltext."
non_oa_med_fulltext_search_1,non_oa_med_fulltext_search,41338958,PMC12664544,pmc_html,False,False,False,"Current ladder degrades to PMC HTML, but BioC does not supply fulltext."
non_oa_med_fulltext_search_2,non_oa_med_fulltext_search,41338953,PMC12664541,pmc_html,False,False,False,"Current ladder degrades to PMC HTML, but BioC does not supply fulltext."
non_oa_med_fulltext_search_3,non_oa_med_fulltext_search,41338959,PMC12674990,pmc_html,False,False,False,"Current ladder degrades to PMC HTML, but BioC does not supply fulltext."
non_oa_med_fulltext_search_4,non_oa_med_fulltext_search,41649399,PMC12890180,miss,False,False,False,Current ladder misses and BioC also lacks fulltext.
oa_bioc_equivalence_search_1,oa_bioc_equivalence_search,,PMC13193167,jats_xml,True,False,False,BioC is coverage-equivalent to current structured XML; not a miss/degradation fixture.
oa_bioc_equivalence_search_2,oa_bioc_equivalence_search,,PMC13193163,jats_xml,True,False,False,BioC is coverage-equivalent to current structured XML; not a miss/degradation fixture.
oa_bioc_equivalence_search_3,oa_bioc_equivalence_search,,PMC13189089,jats_xml,True,False,False,BioC is coverage-equivalent to current structured XML; not a miss/degradation fixture.
oa_bioc_equivalence_search_4,oa_bioc_equivalence_search,,PMC13189218,jats_xml,True,False,False,BioC is coverage-equivalent to current structured XML; not a miss/degradation fixture.
