case,approach,pmid,pmcid,current_best,bioc_fulltext,pubtator_fulltext,material_bioc_win,reason
prior_jats_verified,prior_art_control,27083046,PMC4878868,jats_xml,True,False,False,BioC is coverage-equivalent to current structured XML; not a miss/degradation fixture.
prior_ncbi_bioc_sample,prior_art_control,17299597,PMC1790863,jats_xml,True,False,False,BioC is coverage-equivalent to current structured XML; not a miss/degradation fixture.
prior_table_article,prior_art_control,41807883,PMC12976322,jats_xml,True,False,False,BioC is coverage-equivalent to current structured XML; not a miss/degradation fixture.
prior_non_pmc_control,pubtator_non_pmc_probe,22663011,,miss,False,False,False,Current ladder misses and BioC also lacks fulltext.
non_oa_html_only_search_1,non_oa_html_only_search,,PMC13189394,pmc_html,False,False,False,"Current ladder degrades to PMC HTML, but BioC does not supply fulltext."
non_oa_html_only_search_2,non_oa_html_only_search,,PMC13189395,pmc_html,False,False,False,"Current ladder degrades to PMC HTML, but BioC does not supply fulltext."
non_oa_html_only_search_3,non_oa_html_only_search,,PMC13189397,pmc_html,False,False,False,"Current ladder degrades to PMC HTML, but BioC does not supply fulltext."
non_oa_html_only_search_4,non_oa_html_only_search,,PMC13188534,pmc_html,False,False,False,"Current ladder degrades to PMC HTML, but BioC does not supply fulltext."
non_oa_html_only_search_5,non_oa_html_only_search,,PMC13181459,pmc_html,False,False,False,"Current ladder degrades to PMC HTML, but BioC does not supply fulltext."
non_oa_html_only_search_6,non_oa_html_only_search,,PMC13181451,pmc_html,False,False,False,"Current ladder degrades to PMC HTML, but BioC does not supply fulltext."
non_oa_html_only_search_7,non_oa_html_only_search,,PMC13192350,pmc_html,False,False,False,"Current ladder degrades to PMC HTML, but BioC does not supply fulltext."
non_oa_html_only_search_8,non_oa_html_only_search,,PMC13181456,pmc_html,False,False,False,"Current ladder degrades to PMC HTML, but BioC does not supply fulltext."
non_oa_med_fulltext_search_1,non_oa_med_fulltext_search,41338958,PMC12664544,pmc_html,False,False,False,"Current ladder degrades to PMC HTML, but BioC does not supply fulltext."
non_oa_med_fulltext_search_2,non_oa_med_fulltext_search,41338953,PMC12664541,pmc_html,False,False,False,"Current ladder degrades to PMC HTML, but BioC does not supply fulltext."
non_oa_med_fulltext_search_3,non_oa_med_fulltext_search,41338959,PMC12674990,pmc_html,False,False,False,"Current ladder degrades to PMC HTML, but BioC does not supply fulltext."
non_oa_med_fulltext_search_4,non_oa_med_fulltext_search,41649399,PMC12890180,miss,False,False,False,Current ladder misses and BioC also lacks fulltext.
non_oa_med_fulltext_search_5,non_oa_med_fulltext_search,41254836,PMC13046090,miss,False,False,False,Current ladder misses and BioC also lacks fulltext.
non_oa_med_fulltext_search_6,non_oa_med_fulltext_search,41925680,PMC13186179,pmc_html,False,False,False,"Current ladder degrades to PMC HTML, but BioC does not supply fulltext."
non_oa_med_fulltext_search_7,non_oa_med_fulltext_search,41860454,PMC13110513,pmc_html,False,False,False,"Current ladder degrades to PMC HTML, but BioC does not supply fulltext."
non_oa_med_fulltext_search_8,non_oa_med_fulltext_search,41734085,PMC12951687,miss,False,False,False,Current ladder misses and BioC also lacks fulltext.
oa_bioc_equivalence_search_1,oa_bioc_equivalence_search,,PMC13193167,jats_xml,True,False,False,BioC is coverage-equivalent to current structured XML; not a miss/degradation fixture.
oa_bioc_equivalence_search_2,oa_bioc_equivalence_search,,PMC13193163,jats_xml,True,False,False,BioC is coverage-equivalent to current structured XML; not a miss/degradation fixture.
oa_bioc_equivalence_search_3,oa_bioc_equivalence_search,,PMC13189089,jats_xml,True,False,False,BioC is coverage-equivalent to current structured XML; not a miss/degradation fixture.
oa_bioc_equivalence_search_4,oa_bioc_equivalence_search,,PMC13189218,jats_xml,True,False,False,BioC is coverage-equivalent to current structured XML; not a miss/degradation fixture.
oa_bioc_equivalence_search_5,oa_bioc_equivalence_search,,PMC13189832,jats_xml,True,False,False,BioC is coverage-equivalent to current structured XML; not a miss/degradation fixture.
oa_bioc_equivalence_search_6,oa_bioc_equivalence_search,,PMC13191513,jats_xml,True,False,False,BioC is coverage-equivalent to current structured XML; not a miss/degradation fixture.
oa_bioc_equivalence_search_7,oa_bioc_equivalence_search,,PMC13192297,jats_xml,True,False,False,BioC is coverage-equivalent to current structured XML; not a miss/degradation fixture.
oa_bioc_equivalence_search_8,oa_bioc_equivalence_search,,PMC13190507,jats_xml,True,False,False,BioC is coverage-equivalent to current structured XML; not a miss/degradation fixture.
